Fecha,Plataforma,Provincia,Localidad,Oferta_Empleo,Salario,Modalidad,Tipo_Contrato,Tipo_Jornada,Experiencia,Empresa,Requisitos
2025-09-11,Randstad,Madrid,Villanueva de la Cañada,Delegado Comercial canal hostelería,27.500 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2025-09-11,Randstad,Málaga,Málaga,Preventa De Infraestructuras It,30.000-35.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad digital,Sin Data
2025-09-11,Randstad,Madrid,Villanueva de la Cañada,Jefe de Logística,33.000-35.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2025-09-11,Randstad,Madrid,Madrid,Fiscalista Senior,40.000-50.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2025-09-11,Randstad,Madrid,Madrid,Finance Data Analyst,40.000-60.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2025-09-11,Randstad,Zaragoza,Utebo,Ingeniero Oficina Técnica,28.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2025-09-11,Randstad,Madrid,Madrid,Controller Financiero Y De Gestión (Temp),27.000-30.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2025-09-11,Randstad,Madrid,Madrid,Programador Etl Junior,23.000-25.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad digital,Sin Data
2025-09-11,Randstad,Madrid,Getafe,Mozo Preparador de pedidos en Getafe,17.600 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Madrid,Coslada,Mozo de Almacén 8 HORAS SEMANALES,"9,26 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Valencia,Requena,Mozo/a De Almacén,10-11 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Toledo,Quintanar de la Orden,Peon,18.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Madrid,Madrid,* Mozo o moza con carnet de carretillero en Zona San Blas-Canillejas,12-15 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Palencia,Palencia,Personal auxiliar de fábrica,12-13 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Valencia,Sagunto/Sagunt,Tecnico De Laboratorio,10-11 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Valencia,Loriguilla,Operarios u operarias de alimentación CON COCHE EN LORIGUILLA,"9,79-17,30 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Madrid,Madrid,Secretario/A/Administrativo/A,25.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Valencia,Valencia,Comercial sector audiovisual,20.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Tarragona,Tarragona,Comercial Telefónico Mañanas Lunes a Viernes,"9,40 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Valencia,Puig,Carretillero o Carretillera Doble Pala,"10,76-13,68 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Valencia,Pobla de Vallbona (la),Carretillero La Pobla De Vallbona,"10,68 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Madrid,Galapagar,Mozo para Galapagar,"9,90-10,58 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Valencia,Requena,Operario/a de envasado,10-11 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Castellón,Castellón de la Plana/Castelló de la Plana,"Empleado/a del hogar (estable, 40 horas)",16.576-16.577 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Valencia,Vilamarxant,Operario Con Carretilla,"11,73 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Zaragoza,Zaragoza,Operador/a de Caldera Industrial 5º turno (con coche),32.500-34.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Madrid,Getafe,Mozo/A Carretillero/A,12-13 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Murcia,Lorca,Operario/a de producción Lorca,"11,97 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Coruña,Culleredo,Operario/a de pantógrafo (CNC),21.000-22.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Madrid,Alcorcón,Administrativo,"9,54 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Soria,Soria,Operario u operaria para F. Motores (HORSE) Valladolid,20.043-25.801 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad rpo,Sin Data
2025-09-11,Randstad,Tejeriego,Castrillo,Operario u operaria para F. Motores (HORSE) Valladolid,20.043-25.801 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad rpo,Sin Data
2025-09-11,Randstad,Madrid,Madrid,Administrativo/a sector seguros,25.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Zaragoza,Zaragoza,Operador/a de Caldera Industrial 5º turno (con coche),32.500-34.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Murcia,Lorca,Operario/a de producción Lorca,"11,97 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Coruña,Culleredo,Operario/a de pantógrafo (CNC),21.000-22.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Madrid,Alcorcón,Administrativo,"9,54 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Soria,Soria,Operario u operaria para F. Motores (HORSE) Valladolid,20.043-25.801 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad rpo,Sin Data
2025-09-11,Randstad,Tejeriego,Castrillo,Operario u operaria para F. Motores (HORSE) Valladolid,20.043-25.801 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad rpo,Sin Data
2025-09-11,Randstad,Madrid,Madrid,Administrativo/a sector seguros,25.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Coruña,Coruña (A),Cajeros y personal tienda,"9,50-10 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Asturias,Avilés,Peón polivalente,"12,06 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Zaragoza,Zaragoza,Mozo/A De Almacén,11-12 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2025-09-11,Randstad,Toledo,Casarrubios del Monte,peon carnico,"12,30 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
