Fecha,Plataforma,Provincia,Localidad,Oferta_Empleo,Salario,Modalidad,Tipo_Contrato,Tipo_Jornada,Experiencia,Empresa,Requisitos
2026-02-18,Tecnoempleo,Sin Data,Sin Data,Jefe de Desarrollo de Software - 100% remoto,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Tecnonalia Network,.NET -AZURE -#C
2026-02-18,Tecnoempleo,Barcelona,Sin Data,QA Tester Funcional,24.000€ - 30.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Mytic Innova,SOAPUI -Postman -SQL
2026-02-18,Tecnoempleo,Barcelona,Sin Data,Full Stack Developer,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,First Hunting RRHH,.NET -VB -HL7
2026-02-18,Tecnoempleo,Sin Data,Sin Data,Programador/a Java Microservicios,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,java -microservicios -banca
2026-02-18,Tecnoempleo,Málaga,Sin Data,Técnico de Soporte /Informático,16.000€ - 18.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,PSS,Windows -BMC -Remedy
2026-02-18,Tecnoempleo,Sin Data,Sin Data,Programador/a Javascript,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Arelance,Javascript -html -css
2026-02-18,Tecnoempleo,Barcelona,Sin Data,Programador/a .NET,42.000€ - 45.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Grupo NS,.net -c#
2026-02-18,Tecnoempleo,Barcelona,Sin Data,Programador/a Senior .NET,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Grupo Digital,.NET -angular
2026-02-18,Tecnoempleo,Sin Data,Sin Data,MS SQL Server Consultor técnico,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Arelance,MSSQL -SQL -SQL SERVER
2026-02-18,Tecnoempleo,Madrid,Sin Data,Ingeniero/a de sistemas ópticos,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,GMV,Python -C++ -C
2026-02-18,Tecnoempleo,Madrid,Sin Data,Ingeniero/a PMO Junior,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,GMV,DOORS
