Fecha,Plataforma,Provincia,Localidad,Oferta_Empleo,Salario,Modalidad,Tipo_Contrato,Tipo_Jornada,Experiencia,Empresa,Requisitos
2026-03-31,Tecnoempleo,Barcelona,Sin Data,Senior Fullstack Engineer / Tech Lead,45.000€ - 54.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Social You,microservicios -Docker -Kubernetes
2026-03-31,Tecnoempleo,Barcelona,Sin Data,Senior Data Visualization Qlik,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,EXDESIS,Qlik -Qlik Sense -Qlik View
2026-03-31,Tecnoempleo,Barcelona,Sin Data,Lead Softtware Engineer,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Matrix Development System,.NET Core -Vue -C#
2026-03-31,Tecnoempleo,Madridy otras,Sin Data,"Analista Programador IA, BI",21.000€ - 30.000€ b/a,Sin Data,Sin Data,Sin Data,Sin Data,Incoming Domain,AWS -IAM -EC2
2026-03-31,Tecnoempleo,Bizkaia,Sin Data,Analista Programador/a .NET,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,CAS TRAINING,.net -visual basic -VB.NET
2026-03-31,Tecnoempleo,Sin Data,Sin Data,Programador/a Natural Adabas,21.000€ - 24.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,CAS TRAINING,natural -adabas -jcl
2026-03-31,Tecnoempleo,Madrid,Sin Data,ServiceNow Engineer / Developer,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,PANEL Sistemas Informáticos,ServiceNow -csa -JavaScript
2026-03-31,Tecnoempleo,Madrid,Sin Data,Network & DC Engineer Satelital,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,VMware -KVM -Hyper V
2026-03-31,Tecnoempleo,Barcelona,Sin Data,Desarrollador/a Frontend VueJS,30.000€ - 42.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Arelance,vue -html5 -css3
2026-03-31,Tecnoempleo,Madrid,Sin Data,Técnico/a de sistemas y soporte IT,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,OKDIARIO,macOS -Windows -Google Workspace
2026-03-31,Tecnoempleo,Málaga,Sin Data,Ingeniero Sistemas Junior (08:00-15:00h),21.000€ - 24.000€ b/a,Presencial,Sin Data,Sin Data,Sin Data,Arelance,ad -windows -tomcat
2026-03-31,Tecnoempleo,Madrid,Sin Data,Operador de Sistemas de Infraestructuras,21.000€ - 24.000€ b/a,Presencial,Sin Data,Sin Data,Sin Data,PSS,SQL Server -Windows -Directorio Activo
2026-03-31,Tecnoempleo,Barcelona,Sin Data,IT Project Manager Seguros,39.000€ - 45.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Grupo NS,Project Manager -PM
2026-03-31,Tecnoempleo,Sin Data,Sin Data,Senior SRE Observability (Dynatrace & Azure),Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,CMV Consultores,Dynatrace -ServiceNow -Azure
2026-03-31,Tecnoempleo,Sin Data,Sin Data,Data Engineer (Junior),21.000€ - 27.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,CMV Consultores,AWS -Github -ETL
2026-03-31,Tecnoempleo,Barcelona,Sin Data,Operario/a logístico/a sector IT,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,Serem,excel
2026-03-31,Tecnoempleo,Barcelona,Sin Data,Analista Programador/a .NET,33.000€ - 39.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Nextret,.net -SQL
2026-03-31,Tecnoempleo,Madrid,Sin Data,"Ingeniero/a RMT (Fiabilidad, Mantenibilidad, Test)",30.000€ - 39.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Arelance,rmt -ils -fmecas
2026-03-31,Tecnoempleo,Valencia,Sin Data,Programador/a Odoo,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,LÃBERIT,Odoo -Python -PostgreSQL
2026-03-31,Tecnoempleo,Málaga,Sin Data,DevOps Engineer,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,UST,Docker -Kubernetes -CI/CD
2026-03-31,Tecnoempleo,Bizkaia,Sin Data,Analista Programador Visual Basic .Net,27.000€ - 30.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,CMV Consultores,Visual Basic -VB.Net -TFS
2026-03-31,Tecnoempleo,Barcelona,Sin Data,Developer/a Fullstack Angular + Node.js,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,CAS TRAINING,Angular -Node.Js -DevOps
2026-03-31,Tecnoempleo,Sin Data,Sin Data,DevOps Engineer (Openshift & Kubernetes),Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,UST,OpenShift -Kubernetes -Git
2026-03-31,Tecnoempleo,Madrid,Sin Data,Programador/a y AP Java,30.000€ - 45.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Digital Talent Agency,java -microservicios -spring
2026-03-31,Tecnoempleo,Barcelona,Sin Data,Ingeniero/a Devops,33.000€ - 42.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,CAS TRAINING,DEVOPS -TERRAFORM -CI CD
2026-03-31,Tecnoempleo,Madrid,Sin Data,Tech Lead CRM & Marketing Automation,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Baoss,Salesforce Marketing Cloud -CRM
2026-03-31,Tecnoempleo,Madrid,Sin Data,Consultor/a SAP IG4S,36.000€ - 45.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,CAS TRAINING,SAP IG4S
2026-03-31,Tecnoempleo,Sin Data,Sin Data,Consultor SAP EWM. Inglés,48.000€ - 60.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Grupo NS,SAP -HANA
2026-03-31,Tecnoempleo,Barcelona,Sin Data,Ingeniero de datos - Databricks Gold,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Page Personnel,Databricks -Spark -PySpark
2026-03-31,Tecnoempleo,Sin Data,Sin Data,DevOps Engineer. Github Actions. Inglés,39.000€ - 45.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Grupo NS,AWS -github -terraform
2026-03-31,Tecnoempleo,Sin Data,Sin Data,Analista Funcional Cobol/Unix.Medios de pago,39.000€ - 45.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Grupo NS,COBOL -unix -microfocus
2026-03-31,Tecnoempleo,Sin Data,Sin Data,PM SAP S/4 HANA,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Grupo NS,SAP SD -SAP MM -S/4HANA
2026-03-31,Tecnoempleo,Sin Data,Sin Data,QA Engineer (Aplicaciones Móviles),Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,UST,iOS -Android -JIRA
2026-03-31,Tecnoempleo,Madrid,Sin Data,Adobe Experience Manager (AEM),Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Second Window,Adobe Experience Manager -AEM -JAVASCRIPT
2026-03-31,Tecnoempleo,Sevillay otras,Sin Data,Programador/a - Natural Adabas,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Baoss,Natural -Adabas -JCL
2026-03-31,Tecnoempleo,Madridy otras,Sin Data,Analista Programador/a Java,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Baoss,Java -Spring -Oracle
2026-03-31,Tecnoempleo,Sin Data,Sin Data,Consultor/a Senior. Experiencia JAVA Weblogic,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,java -weblogic -j2ee
2026-03-31,Tecnoempleo,Sin Data,Sin Data,Senior QA Automation Engineer,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Seltime,QA -Selenium -Appium
2026-03-31,Tecnoempleo,Sevilla,Sin Data,Técnico/a Electromecánico,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Page Personnel,Electromecánica -Mecánica
2026-03-31,Tecnoempleo,Sevilla,Sin Data,Técnico/a de Supply Chain,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Page Personnel,Supply Chain
2026-03-31,Tecnoempleo,Málaga,Sin Data,Arquitecto Backend (Hibrido 2 dias/semana),Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Grupo Digital,api -tdd -CI/CD
2026-03-31,Tecnoempleo,Valencia,Sin Data,Electromecánico/a,27.000€ - 27.000€ b/a,Sin Data,Sin Data,Sin Data,Sin Data,Page Personnel,PLC -TIG -Electrónica
2026-03-31,Tecnoempleo,Sin Data,Sin Data,Project Manager Técnico (Freelance),Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Baoss,LAN -WAN -TCP/IP
2026-03-31,Tecnoempleo,Madrid,Sin Data,IT Talent Acquisition Specialist,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,UST,ATS
