Fecha,Plataforma,Provincia,Localidad,Oferta_Empleo,Salario,Modalidad,Tipo_Contrato,Tipo_Jornada,Experiencia,Empresa,Requisitos
2026-08-07,Tecnoempleo,Madrid,Sin Data,Software Engineer - Madrid,30.000€ - 36.000€ b/a,Presencial,Sin Data,Sin Data,Sin Data,Galadrim,PostgreSQL -Node.js -React
2026-08-07,Tecnoempleo,Madrid,Sin Data,Product Manager & Sales Executive,30.000€ - 36.000€ b/a,Presencial,Sin Data,Sin Data,Sin Data,Galadrim,Product Management -Product Owner -Agile
2026-08-07,Tecnoempleo,Barcelona,Sin Data,Desarrollador/a C++ (Presencial),Sin Data,Presencial,Sin Data,Sin Data,Sin Data,Grupo Digital,c++ -docker -kubernetes
2026-08-07,Tecnoempleo,Barcelona,Sin Data,Cloud & Digital Transformation,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,azure -aws -amazon web services
2026-08-07,Tecnoempleo,Barcelona,Sin Data,Analista Programador/a Senior COBOL,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,CMV Consultores,COBOL -CICS -DB2
2026-08-07,Tecnoempleo,Madrid,Sin Data,"Data Engineer Snowflake, SQL",Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,Data -snowflake -SQL
2026-08-07,Tecnoempleo,Madrid,Sin Data,Mainframe Engineer COBOL,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Digital Talent Agency,cobol -db2 -ims
2026-08-07,Tecnoempleo,Madrid,Sin Data,Analista Funcional de Sistemas de Cobros (Hibrido),Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Grupo Digital,sql -jira -agile
2026-08-07,Tecnoempleo,Madrid,Sin Data,Technical Lead Telco Cloud OpenStack OpenShift SDN,48.000€ - 60.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Grupo NS,python -OpenShift -ansible
2026-08-07,Tecnoempleo,Barcelona,Sin Data,Product Owner – Loyalty,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Inkoova,Amadeus -Sabre -Airline
2026-08-07,Tecnoempleo,Madridy otras,Sin Data,Analista Programador/a - Natural Adabas,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Baoss,Natural -Adabas -JCL
2026-08-07,Tecnoempleo,Madrid,Sin Data,Senior DevOps Engineer (AWS/IA) - Remoto,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,UST,AWS -Terraform -DevOps
2026-08-07,Tecnoempleo,Madrid,Sin Data,Cybersecurity Consultant (Cloud Security),Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,UST,Azure -Google Cloud Platform -Microsoft Entra ID
2026-08-07,Tecnoempleo,Valencia,Sin Data,Senior developer,33.000€ - 45.000€ b/a,Sin Data,Sin Data,Sin Data,Sin Data,masterlex,supabase -claude -rag
2026-08-07,Tecnoempleo,Málaga,Sin Data,Docente de Desarrollo de Aplicaciones Web (DAW),Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Aibe Formación,JAVA -HTML -CSS
2026-08-07,Tecnoempleo,Madrid,Sin Data,Analyst IT Cybersecurity - AWS Cloud,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Accenture,AWS -Terraform -MS Azure
2026-08-07,Tecnoempleo,Madrid,Sin Data,Manager Generative AI | LLM & Agentic AI,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Accenture,Azure -OpenAI -Agentic AI
2026-08-07,Tecnoempleo,Barcelona,Sin Data,SAP EWM Manager,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Accenture,SAP EWM -SAP
2026-08-07,Tecnoempleo,Madrid,Sin Data,AWS DATA ARCHITECT - ODS,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,AWS -Glue -LakeFormation
2026-08-07,Tecnoempleo,Madrid,Sin Data,Senior Data Engineer - ODS,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,Spark -PySpark -SQL
2026-08-07,Tecnoempleo,Madrid,Sin Data,Senior Backend Engineer - Security Subsystem,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,Go -Java -APIs
2026-08-07,Tecnoempleo,Madrid,Sin Data,Analista Programador/a Cobol,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Sopra Steria,COBOL -DB2 -IMS
2026-08-07,Tecnoempleo,Madrid,Sin Data,Desarrollador/a ADA,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,Sopra Steria,ADA
2026-08-07,Tecnoempleo,Madrid,Sin Data,Data Engineer (Databricks),Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Sopra Steria,Databricks -Python -PySpark
2026-08-07,Tecnoempleo,Madrid,Sin Data,IT Business Analyst ERP,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Sopra Steria,ERP -CRM -DMS
