Fecha,Plataforma,Provincia,Localidad,Oferta_Empleo,Salario,Modalidad,Tipo_Contrato,Tipo_Jornada,Experiencia,Empresa,Requisitos
2026-01-29,Trabajoscom,Castellón,Altura,Job Técnico/a de laboratorio sector alimentación Alto Palancia,9 € - 10 €,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-01-29,Trabajoscom, Castellón, Castellón,Operario/a de línea de envasado Alto Palancia,9 € - 10 €,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-01-29,Trabajoscom,Castellón,Altura,Mozo/a almacén - Carretillero/a frontal Alto Palancia,9 € - 10 €,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-01-29,Trabajoscom,Madrid,Todo Madrid,TECNICO-CONTABLE,21.000 € - 23.000 €,Sin Data,Indefinido,Jornada Intensiva,Sin Data,Mirasierra Asesores Fiscales,Sin Data
2026-01-29,Trabajoscom,Burgos,Todo Burgos,Operario/a en fábrica con discapacidad en Aranda de Duero,1.381 € - 1.400 €,Sin Data,Discapacidad,Jornada Completa,Sin Data,Talento y Experiencia Castilla y León,Sin Data
2026-01-29,Trabajoscom,Cantabria,Todo Cantabria,Ayudante fabricación 33 H/s,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,EY,Sin Data
2026-01-29,Trabajoscom,Ávila,Todo Ávila,Dinamizador/a Talleres de Salud y Desarrollo Personal para Personas Mayores,Sin Data,Sin Data,Indefinido,Media Jornada,Sin Data,Clece,Sin Data
2026-01-29,Trabajoscom,Gipuzkoa,Todo Gipuzkoa,Técnico/a Montaje Salas,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Clece,Sin Data
2026-01-29,Trabajoscom,Málaga,Todo Málaga,Lavado de vehículos,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Cycle Servicios Integrales CE,Sin Data
2026-01-29,Trabajoscom,Lleida,Todo Lleida,Ingeniero de FW- Sector ganadero- Agramunt (Lleida),Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Madrid,Todo Madrid,Financiero o Auditor Junior con discapacidad,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Barcelona,Todo Barcelona,Técnico Comercial - Mecanizado Industrial,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Madrid,Todo Madrid,Back Office/ Administrativo Financiero Junior,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Valencia,Todo Valencia,Responsable de Administración y Finanzas.,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Zaragoza,Todo Zaragoza,Técnico/a Mantenimiento PLC,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Alicante,Todo Alicante,Encargado/a de obra - Norte de Alicante,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Madrid,Todo Madrid,Mozo/a polivalente,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Clece,Sin Data
2026-01-29,Trabajoscom,Barcelona,Todo Barcelona,Responsable de Administración,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Lleida,Todo Lleida,Electronic Project Lead- Sector ganadero- Agramunt (Lleida),Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Madrid,Todo Madrid,"Jefe de obra, obra nueva (h/m)",Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Barcelona,Todo Barcelona,Contable Cuentas a Pagar,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Valencia,Todo Valencia,Especialista en medicina aeronáutica y primeros auxilios,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,EY,Sin Data
2026-01-29,Trabajoscom,Tarragona,Todo Tarragona,Veterinario/a 51fb2b34,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Clece,Sin Data
2026-01-29,Trabajoscom,Palmas,Todo Palmas,Responsable Financiero - Económico,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Barcelona,Todo Barcelona,Montador mecánico de maquinaria - Baix Llobregat,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Alicante,Todo Alicante,Encargado/a de obra Residencial - Alcoy,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Madrid,Todo Madrid,Ingeniero de Preventa con experiencia en Data,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Valencia,Todo Valencia,Ingeniero/a Agrónomo/a con inglés,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Valencia,Todo Valencia,Técnico/a de mantenimiento,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Eurofirms,Sin Data
2026-01-29,Trabajoscom,León,Todo León,DOCENTE SSCG0111 “Gestión de llamadas de teleasistencia”.,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,EY,Sin Data
2026-01-29,Trabajoscom,Navarra,Todo Navarra,Técnico/a de Oficina Técnica,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Clece,Sin Data
2026-01-29,Trabajoscom,Alicante,Todo Alicante,Jefe/a de grupo - Sur de Valencia / Norte de Alicante.,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Madrid,Todo Madrid,Jefe de obra eléctrico (h/m) / Zona sur de Madrid,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2026-01-29,Trabajoscom,Araba,Todo Araba,Repartidores/as- Incorporación inmediata,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Clece,Sin Data
2026-01-29,Trabajoscom,Barcelona,Todo Barcelona,Administrativo/a de compras y producción- Parets del Valles,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
