Fecha,Plataforma,Provincia,Localidad,Oferta_Empleo,Salario,Modalidad,Tipo_Contrato,Tipo_Jornada,Experiencia,Empresa,Requisitos
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Marketing Executive,27.000€ - 33.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Social You,marketing
2026-03-11,Tecnoempleo,Madrid,Sin Data,Programador/a PHP en Wordpress,30.000€ - 36.000€ b/a,Sin Data,Sin Data,Sin Data,Sin Data,OKDIARIO,PHP -Javascript -HTML
2026-03-11,Tecnoempleo,Valencia,Sin Data,Front-End Developer - Configuradores 3D Web,33.000€ - 39.000€ b/a,Presencial,Sin Data,Sin Data,Sin Data,3dr,Vue.js -React -Apis Rest
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Growth Manager,33.000€ - 42.000€ b/a,Sin Data,Sin Data,Sin Data,Sin Data,Matchento,Meta ads -Google ads -Clickup
2026-03-11,Tecnoempleo,Madrid,Sin Data,Consultor SAP PP-QM,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,EXDESIS,SAP
2026-03-11,Tecnoempleo,Madrid,Sin Data,Desarrollador de Power BI,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,GAT HOSPITALITY,Power BI -DAX -Power Query
2026-03-11,Tecnoempleo,Barcelonay otras,Sin Data,PMO jr,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Baoss,jira -SCRUM -kanban
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Project Manager IT - Administración Pública,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,EXDESIS,Liferay -Sharepoint -Jira
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Desarrollador/a Web Junior,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,CRC Obras y Servicios,PHP -Javascript -SQL
2026-03-11,Tecnoempleo,Valencia,Sin Data,Técnico de soporte IT,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,IT8 SOFTWARE ENGINEERING,Office 365 -MDM -Teamviewer
2026-03-11,Tecnoempleo,Madrid,Sin Data,Analista Programador/a .NET,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,.NET -C# -SQL
2026-03-11,Tecnoempleo,Madrid,Sin Data,Gestor/a CAU - Soporte a Usuarios (Helpdesk),Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,CMV Consultores,CAU -ServiceNow -Jira
2026-03-11,Tecnoempleo,Valencia,Sin Data,Ingeniero/a de proyectos de instalaciones,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,Michael Page,HVAC -BIM
2026-03-11,Tecnoempleo,Zaragoza,Sin Data,Ingeniero/a cálculo,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,AutoCAD -SolidWorks -ANSYS
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Proyectista Instalaciones - Ingeniería,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Michael Page,BIM
2026-03-11,Tecnoempleo,Valencia,Sin Data,Técnico/a de Sistemas,30.000€ - 39.000€ b/a,Sin Data,Sin Data,Sin Data,Sin Data,Guillén Group,Windows -Microsoft 365 -Fortinet
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Salesforce Project Manager,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Michael Page,Salesforce -Veeva CRM -Project
2026-03-11,Tecnoempleo,Córdoba,Sin Data,Responsable de Marketing,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,Michael Page,Marketing
2026-03-11,Tecnoempleo,Sin Data,Sin Data,NAVCAST Software Systems Engineer,45.000€ - 60.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Michael Page,Python -Bash -Perl
2026-03-11,Tecnoempleo,Madridy otras,Sin Data,QA Tester Senior - API Testing,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Baoss,QA -testing
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Cloud architect (HRIS),Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Krell Consulting & Training,hris -apis -data
2026-03-11,Tecnoempleo,Madrid,Sin Data,Cloud DevOps Engineer (Terraform),Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Krell Consulting & Training,terraform -cloud -devops
2026-03-11,Tecnoempleo,Álava,Sin Data,Técnico/a Microinformático,16.000€ - 18.000€ b/a,Presencial,Sin Data,Sin Data,Sin Data,Zaidan IT Consulting,microinformatica
2026-03-11,Tecnoempleo,Madrid,Sin Data,Security Engineer,36.000€ - 39.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,CAS TRAINING,U2A -A2A -AZURE ENTRA ID
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Senior Backend Developer (Java + IAM),Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,CMV Consultores,Java -IAM
2026-03-11,Tecnoempleo,Madrid,Sin Data,Especialista en Ciberseguridad (IAM) SailPoint,30.000€ - 39.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,CAS TRAINING,SailPoint -IAM
2026-03-11,Tecnoempleo,Burgos,Sin Data,Técnico Informático Policompentencial,36.000€ - 39.000€ b/a,Presencial,Sin Data,Sin Data,Sin Data,AGUAS DE BURGOS,Windows -Linux -TCP/IP
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Consultor/a Data & IA - Sector Salud,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Digital Talent Agency,IA -Data -SQL
2026-03-11,Tecnoempleo,Toledo,Sin Data,Programador/Técnico Oracle BI Junior,18.000€ - 21.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,CMV Consultores,Oracle BI -PL/SQL -OBIEE
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Analista Programador/a COBOL,33.000€ - 48.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Arelance,COBOL -DB2 -SQL
2026-03-11,Tecnoempleo,Madrid,Sin Data,Departamento de compras industrial,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Arelance,ERP -SAP -ARIBA
2026-03-11,Tecnoempleo,Madrid,Sin Data,DevOps Senior,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Arelance,docker -kubernetes -helm
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Azure Consultant - Cloud & Business Consulting,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,CLOUD -azure
2026-03-11,Tecnoempleo,Madrid,Sin Data,Analista Funcional Contable - Sector Banca,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Digital Talent Agency,Calypso -Murex
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Desarrollador/a Java,30.000€ - 48.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Smartway Studio,java -springboot -mybatis
2026-03-11,Tecnoempleo,Madrid,Sin Data,IA Engineer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Page Personnel,Python -OpenAI -SDK
2026-03-11,Tecnoempleo,Madrid,Sin Data,Ingeniero/a Redacción de Proyectos,36.000€ - 42.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Page Personnel,ISTRAM -AutoCAD -Presto
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Técnico de soporte - Videoanalytics co,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Page Personnel,soporte -Active Directory
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Programador/a Fullstack Java y React,36.000€ - 39.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,CMV Consultores,React -javascript -typescript
2026-03-11,Tecnoempleo,Madrid,Sin Data,SysOps,48.000€ - 60.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Page Personnel,Linux -Windows -Python
2026-03-11,Tecnoempleo,Barcelona,Sin Data,IT Project Manager - International Company,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Page Personnel,Prince2 -PMP -PMI
2026-03-11,Tecnoempleo,Madridy otras,Sin Data,Project Manager - AWS y Powercenter,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Baoss,AWS -Powercenter
2026-03-11,Tecnoempleo,Madridy otras,Sin Data,Business Consultant - Alemán B2/C1,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Baoss,AML -CFT
2026-03-11,Tecnoempleo,Madrid,Sin Data,Perfil SOPORTE JAVA con Ingles,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Digital Talent Agency,java -xml -helpdesk
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Senior .NET Developer (Angular),39.000€ - 48.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Michael Page,.NET -Angular -Azure
2026-03-11,Tecnoempleo,Barcelona,Sin Data,SAP IS-U Consultant,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Michael Page,SAP
2026-03-11,Tecnoempleo,Valencia,Sin Data,Marketing Manager con Inglés e Italiano,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,Marketing
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Perfil técnico de redes IT,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,Redes -OSI -TCP
2026-03-11,Tecnoempleo,Madrid,Sin Data,IT Gestor de Peticiones,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,Michael Page,Unix -Clarity -Remedy
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Ingeniero de Proyectos,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,GMP
2026-03-11,Tecnoempleo,Sevilla,Sin Data,Ingeniero/a Industrial Junior,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,Ingeniería -Industrial
2026-03-11,Tecnoempleo,Zaragoza,Sin Data,Ingeniero/a eléctrico de producción,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,PRESTO
2026-03-11,Tecnoempleo,Madrid,Sin Data,Director de Calidad - Sector Industria,72.000€ - 88.000€ b/a,Presencial,Sin Data,Sin Data,Sin Data,Michael Page,Calidad -industria
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Amazon Vendor Specialist,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,Amazon Vendor -Excel -Google Sheets
2026-03-11,Tecnoempleo,A Coruña,Sin Data,Desarrollador PLC junior,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,HAYS,CODESYS -PLC
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Analista Programador/a senior .NET,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,HAYS,C# -.NET -Agile
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Software Engineer Java & Kotlin,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Santander,java -spring -Kotlin
2026-03-11,Tecnoempleo,Madrid,Sin Data,IT / CYBER RISK COE ANALYST,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,Ciberseguridad -CISA -CISM
2026-03-11,Tecnoempleo,Madrid,Sin Data,Senior Back End Engineer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,java -spring
2026-03-11,Tecnoempleo,Madrid,Sin Data,Senior Data Analyst,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,Google Analytics -Adobe Analytics -SQL
2026-03-11,Tecnoempleo,Madrid,Sin Data,iOS Junior Developer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,Swift -iOS
2026-03-11,Tecnoempleo,Madrid,Sin Data,IT Project Manager Digital Channel Comm,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,Project Manager
2026-03-11,Tecnoempleo,Madrid,Sin Data,Junior Back-End Engineer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,Microservicios -Java -Spring
2026-03-11,Tecnoempleo,Madrid,Sin Data,Scientist Responsible AI,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,Python -PyTorch -TensorFlow
2026-03-11,Tecnoempleo,Sevilla,Sin Data,Analista Programador/a - proyecto Administración,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Sopra Steria,AAPP
2026-03-11,Tecnoempleo,Madrid,Sin Data,Desarrollador/a RPA (Power Automate),Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Sopra Steria,Power Automate -RPA
2026-03-11,Tecnoempleo,Madrid,Sin Data,Scrum Master,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Sopra Steria,agile -Scrum
2026-03-11,Tecnoempleo,Albacete,Sin Data,Data Scientist / Artificial Intelligence,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Airbus,Python -Pandas -NumPy
2026-03-11,Tecnoempleo,Barcelona,Sin Data,AI Engineer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Sopra Steria,Python -IA Generativa -LLM
2026-03-11,Tecnoempleo,Sevilla,Sin Data,Desarrollador/a Kotlin,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Sopra Steria,Kotlin -Angular
2026-03-11,Tecnoempleo,Madrid,Sin Data,Consultor/a ERP (SAP MM/SD),Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Sopra Steria,SAP MM -SAP SD -SAP WM
2026-03-11,Tecnoempleo,Madrid,Sin Data,Simulation Software Engineer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Airbus,C++ -Python
2026-03-11,Tecnoempleo,Madrid,Sin Data,Referente Técnico/a Java,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Sopra Steria,Java -Spring Boot -Git
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Consultor/a SAP WM (Remoto),Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Grupo Digital,sap wm -sap -hana
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Desarrollador/a SENIOR REACT con INGLÉS,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,react -typescript -node
2026-03-11,Tecnoempleo,A Coruña,Sin Data,Programador/a Java,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Digital Talent Agency,java
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Ingeniero Líder Técnico/a Java - Angular,33.000€ - 48.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,java -springboot -angular
2026-03-11,Tecnoempleo,Madrid,Sin Data,Desarrollador/a PHP SYMFONY con Inglés,27.000€ - 30.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Digital Talent Agency,php -symfony -api rest
2026-03-11,Tecnoempleo,Barcelonay otras,Sin Data,Técnico Analista C# NET SAP BusinessOne,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Axalpha Consulting,c# -.net -sql
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Especialista BMC Hélix,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Serem,BMC -ITSM -Helix
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Analista Funcional (Sector Seguros),Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Baoss,API -IA
2026-03-11,Tecnoempleo,Sin Data,Sin Data,DevOps con Github actions,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Serem,Github Actions -DevOps -AWS
2026-03-11,Tecnoempleo,Madrid,Sin Data,Técnico/a .NET especializado rendimiento,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,.NET -Angular -C#
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Desarrollador/a Sisnet,27.000€ - 33.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Serem,Sisnet -ZeroCode -Java
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Consultor/a Banca +Mainframe | 100% remoto,30.000€ - 36.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,CAS TRAINING,Cobol -JCL -CICS
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Backend developer,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,CMV Consultores,oracle -JPA -Hibernate
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Desarrollador/a Front,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Serem,angular -javascript -sass
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Proyecto IT Preventa - Sector Sanitario,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,HL7 -FHIR -OpenEHR
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Programadores ABAP,33.000€ - 39.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Seltime,ABAP -FI CA -SD
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Especialista en Automatización IA Junior,24.000€ - 30.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Social You,rapa -low code -n8n
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Backend Junior,24.000€ - 30.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Social You,python -sql -rpa
2026-03-11,Tecnoempleo,Madrid,Sin Data,Data Engineer,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Baoss,Spark -Scala -SQL
2026-03-11,Tecnoempleo,Madridy otras,Sin Data,"Analista Programador IA, BI",21.000€ - 30.000€ b/a,Sin Data,Sin Data,Sin Data,Sin Data,Incoming Domain,AWS -IAM -EC2
2026-03-11,Tecnoempleo,Madrid,Sin Data,Consultor COBOL/AS400,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,cobol -as/400 -jira
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Analista Funcional,33.000€ - 42.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Tuyú Technology,Maximo -UX -Confluence
2026-03-11,Tecnoempleo,Madrid,Sin Data,Técnico/a microinformatica,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,Grupo Sermicro,microinformatica
2026-03-11,Tecnoempleo,Madrid,Sin Data,Java Developer Sr.-Microservices/Spring Boot,30.000€ - 36.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Serem,Java -Maven -Spring
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Frontend Developer ANGULAR REACT con Ingles,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,angular -react -github
2026-03-11,Tecnoempleo,Madrid,Sin Data,Programador/a LitElement Cells,30.000€ - 36.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,CMV Consultores,LitElement -Javascript -CSS
2026-03-11,Tecnoempleo,Madrid,Sin Data,Desarrollador/a Java Spring con Inglés,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Digital Talent Agency,java -microservicios -spring
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Programador/a Servicenow,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Serem,servicenow -ITSM -Javascript
2026-03-11,Tecnoempleo,Madrid,Sin Data,Analista Programador/a COBOL AS/400,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,Serem,COBOL -AS400
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Arquitecto de datos senior (AWS),Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Serem,aws -data lake
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Programador Java con experiencia en Autenticación,30.000€ - 36.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Arelance,java -api -rest
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Programador/a COBOL,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,cobol -as/400
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Senior FullStack Angular/NodeJS,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Grupo Sermicro,Node -Angular -MongoDB
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Desarrollador/a Frontend Angular,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,CAS TRAINING,Angular -Java -CI/CD
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Desarrollador Backend (Node + TypeScript) con IA,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,PANEL Sistemas Informáticos,Node.js -TypeScript -REST APIs
2026-03-11,Tecnoempleo,Madrid,Sin Data,Scrum Master Expert,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Second Window,Jira -Trello -agile
2026-03-11,Tecnoempleo,Madrid,Sin Data,Programadores Java,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Seltime,Java -Springboot -Angular
2026-03-11,Tecnoempleo,Barcelona,Sin Data,Project Manager de Sistemas (SQL & Power BI),42.000€ - 54.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Social You,sql -power bi -agile
2026-03-11,Tecnoempleo,Madridy otras,Sin Data,Desarrollador .NET,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Serem,Windows Forms -ASP.NET -Visual Studio
2026-03-11,Tecnoempleo,Madrid,Sin Data,Programador/a & Analista Programador/a PL1,24.000€ - 45.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Social You,PL1 -HOST -MAINFRAME
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Senior QA Automation Engineer (Web + Mobile),Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Seltime,Java -selenium -Appium
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Senior Power Apps Developer / Architect,45.000€ - 54.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Social You,power apps -dataverse -power bi
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Mobile Developer (Android & iOS) (German Speaking),36.000€ - 45.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Social You,android -iOs -kotlin
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Programador/a Cobol,21.000€ - 24.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,PSS,cobo -cics -db2
2026-03-11,Tecnoempleo,Madrid,Sin Data,Analista Programador .NET,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Second Window,.Net -MVC -microservicios
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Desarrollador Salesforce Sales,39.000€ - 42.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,CMV Consultores,Salesforce -Apex -Lightning
2026-03-11,Tecnoempleo,Madrid,Sin Data,Técnico/a  microinformático junior,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,Serem,windows -microsoft 365 -pki
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Programador/a Javascript,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Arelance,Javascript -html -css
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Ingeniero C/C++ (sistemas distribuidos),42.000€ - 48.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Arelance,c -c++ -python
2026-03-11,Tecnoempleo,Sin Data,Sin Data,Soporte Técnico N1,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,Soporte -SQL
2026-03-11,Tecnoempleo,Madrid,Sin Data,Analista programador en ASP.net,30.000€ - 36.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Accuro Technology,.net -asp.net
2026-03-11,Tecnoempleo,Madridy otras,Sin Data,Analista RedHat OpenShift Virtualization,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Baoss,Openshift -Linux -Virtualization
