Fecha,Plataforma,Provincia,Localidad,Oferta_Empleo,Salario,Modalidad,Tipo_Contrato,Tipo_Jornada,Experiencia,Empresa,Requisitos
2026-01-21,Tecnoempleo,Granada,Sin Data,Profesor Informática,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,Instituto Tecnológico Poniente,Java -Php -MySQL
2026-01-21,Tecnoempleo,Murcia,Sin Data,Software Engineer,36.000€ - 36.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Alpha Networks,Java -REST -SPRING
2026-01-21,Tecnoempleo,Murcia,Sin Data,Software Sales Executive & Account Manager,39.000€ - 48.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Alpha Networks,Agile -OTT
2026-01-21,Tecnoempleo,Madrid,Sin Data,Administrador de Sistemas Microsoft y Redes,30.000€ - 36.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Sale Systems,Windows Server -Active Directory -Microsoft 365
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Desarrollador/a Java. Conocimientos IAM,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,java -IAM
2026-01-21,Tecnoempleo,Madridy otras,Sin Data,Administrador/a OpenShift - OCP,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Baoss,Openshift -RHEL -Linux
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Programador/a Powercenter,21.000€ - 21.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,CAS TRAINING,PowerCenter -PL/SQL -ETL
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Desarrollador/a SENIOR MuleSoft,30.000€ - 33.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,CAS TRAINING,Mulesoft -TIBCO
2026-01-21,Tecnoempleo,Barcelona,Sin Data,Responsable Calidad del Dato-HUB DQ,30.000€ - 36.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,CAS TRAINING,Data Quality -HUB Data -KPIs
2026-01-21,Tecnoempleo,Madrid,Sin Data,Scrum Master Junior. Teletrabajo,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Second Window,scrum -agile
2026-01-21,Tecnoempleo,Madrid,Sin Data,Programador Java con GCP,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Second Window,Java -GCP -Docker
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Jefe/a de Proyecto,42.000€ - 54.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Arelance,pmp -capm -prince2
2026-01-21,Tecnoempleo,Madrid,Sin Data,DevOps | Hibrido Madrid | Inglés B1-B2,33.000€ - 36.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,CAS TRAINING,DEVOPS -JAVA -GLOOGLE CLOUD
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Programmer Analyst Low-code/OutSystems,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,CAS TRAINING,Outsystems -low code
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Programador/a PL1 Mainframe,21.000€ - 27.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,CAS TRAINING,PL1 -DB2 -IMS
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Desarrollador/a React Angular,33.000€ - 36.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,CAS TRAINING,REACT -ANGULAR -React Query
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Consultor/a Dynamics Customer Services Workspace,48.000€ - 54.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,CAS TRAINING,Dynamics -usd -uci
2026-01-21,Tecnoempleo,Barcelona,Sin Data,Gestor/a de Servicios Tecnológicos,21.000€ - 30.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Tuyú Technology,ITIL -ITSM -Jira
2026-01-21,Tecnoempleo,Madrid,Sin Data,Desarrollador/a Java,24.000€ - 27.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,CAS TRAINING,java -spring -boot
2026-01-21,Tecnoempleo,Madrid,Sin Data,Consultor COBOL/AS400,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,cobol -as/400 -jira
2026-01-21,Tecnoempleo,Madrid,Sin Data,Analista Programador/a COBOL AS/400,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,COBOL -AS400
2026-01-21,Tecnoempleo,Sin Data,Sin Data,DBA Senior / PMO,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,CMV Consultores,ORACLE -RAC -Data Guard
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Team Lead Linux (RHEL),36.000€ - 48.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Grupo NS,linux -VMware -vSphere
2026-01-21,Tecnoempleo,Bizkaia,Sin Data,Cloud Native Application Architect,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Deloitte,Python -Java -Node
2026-01-21,Tecnoempleo,Madrid,Sin Data,Senior Data Engineer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Deloitte,PySpark -SparkSQL -Python
2026-01-21,Tecnoempleo,Zaragoza,Sin Data,Data Engineer Consultant,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Deloitte,Synapse -Databricks -Fabric
2026-01-21,Tecnoempleo,Barcelona,Sin Data,Senior Data Engineer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Deloitte,PySpark -SparkSQL -Python
2026-01-21,Tecnoempleo,Barcelona,Sin Data,Cloud Native Application Developer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Deloitte,Python -Java -Node
2026-01-21,Tecnoempleo,Sin Data,Sin Data,QA Tester Automation (Inglés Alto),Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Grupo Digital,QA -Selenium -Cypress
2026-01-21,Tecnoempleo,Madrid,Sin Data,Desarrollador Senior Front,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Aegon N.V.,TypeScript -JavaScript -HTML
2026-01-21,Tecnoempleo,Madrid,Sin Data,Beca Datos Financieros IT,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Aegon N.V.,agile
2026-01-21,Tecnoempleo,Madrid,Sin Data,Programa Step Up! - Beca Desarrollo IT,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Aegon N.V.,SQL -ETL
2026-01-21,Tecnoempleo,Barcelona,Sin Data,AI Intern,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,AstraZeneca,Python -Machine Learning
2026-01-21,Tecnoempleo,Barcelona,Sin Data,IT Technical Support,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,AstraZeneca,Microsoft 365 -Windows -macOS
2026-01-21,Tecnoempleo,Barcelona,Sin Data,Coordinador/a Servicios Tecnológicos,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Grupo Digital,Remedy -jira -ITIL
2026-01-21,Tecnoempleo,Barcelona,Sin Data,Ingeniero/a Automatización,33.000€ - 39.000€ b/a,Sin Data,Sin Data,Sin Data,Sin Data,Page Personnel,PLC -HMI -SCADA
2026-01-21,Tecnoempleo,Zaragoza,Sin Data,Programador/a Robots,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,HAYS,PLC -robot -ABB
2026-01-21,Tecnoempleo,Bizkaia,Sin Data,Ingeniero/a de Software Embebido,39.000€ - 54.000€ b/a,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,PCB -C -C++
2026-01-21,Tecnoempleo,Bizkaia,Sin Data,Consultor/a SAP SD,48.000€ - 80.000€ b/a,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,sap
2026-01-21,Tecnoempleo,Bizkaia,Sin Data,Programador SQL,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,.net -SQL
2026-01-21,Tecnoempleo,Madrid,Sin Data,Programación SAP ABAP,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Michael Page,SAP -ABAP -Fiori
2026-01-21,Tecnoempleo,Valencia,Sin Data,Administrador/a de Sistemas,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,Active Directory -Azure -SharePoint
2026-01-21,Tecnoempleo,Barcelona,Sin Data,AI & Automation Lead,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,Machine Learning -MLOps -RPA
2026-01-21,Tecnoempleo,Barcelona,Sin Data,IT Project Manager,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Michael Page,Project Manager -agile
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Programador/a Servicenow,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Serem,servicenow -ITSM -Javascript
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Desarrolladores/as y APs JAVA VUE,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,vue -java -html
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Analista Python,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Krell Consulting & Training,Python -JSON -Avro
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Programador Analista Oracle / Java,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Krell Consulting & Training,java -spring
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Analistas Funcionales medios de pago,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Seltime,Cobol -CICS -BD2
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Technical Lead Java Microservicios,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Krell Consulting & Training,java -spring -JPA
2026-01-21,Tecnoempleo,Madrid,Sin Data,Head of Cibersecurity Services,84.000€ - 90.000€ b/a,Sin Data,Sin Data,Sin Data,Sin Data,Michael Page,Ciberseguridad
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Full-Stack .NET+Angular+Ionic,39.000€ - 54.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Michael Page,.NET -Angular -Ionic
2026-01-21,Tecnoempleo,Barcelona,Sin Data,Global CRM Marketing Specialist,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Page Personnel,Marketing
2026-01-21,Tecnoempleo,Barcelona,Sin Data,Programador/a SAGE 200,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,HAYS,Sage -SQL
2026-01-21,Tecnoempleo,Barcelona,Sin Data,IT Business Analyst - Source to Pay,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Criteo,SAP
2026-01-21,Tecnoempleo,Barcelona,Sin Data,Technical Support Engineer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Criteo,HTML -JavaScript -REST
2026-01-21,Tecnoempleo,Barcelona,Sin Data,RWE Data Analyst Expert,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Sanofi,Qlik -Tableau -MicroStrategy
2026-01-21,Tecnoempleo,Madrid,Sin Data,Perfil Funcional PYTHON / SQL,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,sg tech,Python -SQL -Power BI
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Analista Programador/a Java,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,sg tech,java -spring
2026-01-21,Tecnoempleo,Madridy otras,Sin Data,Desarrollador Mid Salesforce,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,sg tech,Salesforce -APEX
2026-01-21,Tecnoempleo,Málaga,Sin Data,It Project Manager,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Randstad ES,Project Manager -Scrum -Kanban
2026-01-21,Tecnoempleo,Málaga,Sin Data,Mobile Developer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Randstad ES,Java -Kotlin -Android
2026-01-21,Tecnoempleo,Málaga,Sin Data,Middle Full Stack Developer,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Randstad ES,Java -Angular
2026-01-21,Tecnoempleo,Madrid,Sin Data,Data Business Analyst,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,UST,Tableau -SQL
2026-01-21,Tecnoempleo,Málaga,Sin Data,Programador/a Java-Python-Angular,27.000€ - 39.000€ b/a,Presencial,Sin Data,Sin Data,Sin Data,Digital Talent Agency,java -python -angular
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Desarrolladores/as Java Microservicios,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,java -spring -spring boot
2026-01-21,Tecnoempleo,Madridy otras,Sin Data,Analista RedHat OpenShift Virtualization,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Baoss,Openshift -Linux -Virtualization
2026-01-21,Tecnoempleo,Madrid,Sin Data,Ingeniero/a de Sistemas Operativos ESX,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,ESX -Linux -scripting
2026-01-21,Tecnoempleo,Madridy otras,Sin Data,PMO/Project Manager Jr - IT,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Baoss,Excel -PMO -Project
2026-01-21,Tecnoempleo,Madrid,Sin Data,Analista Programador/Data Scientist/BI,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Invoin,NodeJS -JavaScript -React
2026-01-21,Tecnoempleo,Madrid,Sin Data,Técnico de Redes,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Invoin,redes -switches -routers
2026-01-21,Tecnoempleo,Madrid,Sin Data,Consultor/a React,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Invoin,React -javascript -HTML
2026-01-21,Tecnoempleo,Madrid,Sin Data,Administrador de Sistemas IT,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Invoin,Cloud -AWS -VMWare
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Programadores Python,27.000€ - 33.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Seltime,Python -JavaScript -MS Excel
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Programador/a Cobol. Teletrabajo,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Second Window,Cobol -DB2 -JCL
2026-01-21,Tecnoempleo,Barcelona,Sin Data,C++ Tech Lead,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,C++ -Linux -Docker
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Analista Programador Java / Spring Batch,30.000€ - 36.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Arelance,j2ee -java -springbatch
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Analistas Programadores MicroStrategy,30.000€ - 39.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,Seltime,MicroStrategy -SQL Server -Oracle
2026-01-21,Tecnoempleo,Madrid,Sin Data,Administrador de Almacenamiento y Backup,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Serem,Commvault -Veeam -PowerMax
2026-01-21,Tecnoempleo,Sin Data,Sin Data,Coordinación de Desarrollo - Core Bancario,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,PANEL Sistemas Informáticos,Java -Spring Boot -APIs RESTful
2026-01-21,Tecnoempleo,Madrid,Sin Data,Técnico especialista en nómina,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,GMV,nomina
2026-01-21,Tecnoempleo,Madrid,Sin Data,Business Development Executive,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,GMV,IT -desarrollo de negocio
