Fecha,Plataforma,Provincia,Localidad,Oferta_Empleo,Salario,Modalidad,Tipo_Contrato,Tipo_Jornada,Experiencia,Empresa,Requisitos
2025-10-29,Trabajoscom,Málaga,Malaga,Agente de Ventas Telefónicas con Italiano – Call Center,1.500 € - 3.000 €,Sin Data,Indefinido,Jornada Completa,Sin Data,SRJ Innovations,Sin Data
2025-10-29,Trabajoscom,Barcelona,Todo Barcelona,Técnico/a de Calidad – Contrato temporal,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Grupompleo,Sin Data
2025-10-29,Trabajoscom,Zaragoza,Todo Zaragoza,SOLDADOR/A MIG- MAG (EMPRESA),Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Grupompleo,Sin Data
2025-10-29,Trabajoscom,Toledo,Todo Toledo,Carretillero/a Retráctil con Puente Grúa (H/M/X),Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Manpower Trabajo Temporal,Sin Data
2025-10-29,Trabajoscom,Burgos,Todo Burgos,Palista,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Eurofirms,Sin Data
2025-10-29,Trabajoscom,Madrid,Todo Madrid,Carretillero/a Mercamadrid,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Open To Work,Sin Data
2025-10-29,Trabajoscom,Madrid,Todo Madrid,Mozo/a - Peon/a,Sin Data,Sin Data,Indefinido,Jornada Intensiva,Sin Data,Open To Work,Sin Data
2025-10-29,Trabajoscom,Madrid,Todo Madrid,Comercial,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Open To Work,Sin Data
2025-10-29,Trabajoscom,Rioja,Todo Rioja,Gobernanta/e,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,EY,Sin Data
2025-10-29,Trabajoscom,Pontevedra,Todo Pontevedra,Incoporación inmediata conservera 1a1ae97a,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,EY,Sin Data
2025-10-29,Trabajoscom,Bizkaia,Todo Bizkaia,Operario/a Almacén (MS Motor-Pierburg) f823edd9,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,EY,Sin Data
2025-10-29,Trabajoscom,Valladolid,Todo Valladolid,Teleoperador/a venta de energía,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Eurofirms,Sin Data
2025-10-29,Trabajoscom,Burgos,Todo Burgos,Mecánico/Electromecánico,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,EY,Sin Data
2025-10-29,Trabajoscom,Zaragoza,Todo Zaragoza,Responsable de compras,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Grupompleo,Sin Data
2025-10-29,Trabajoscom,Gipuzkoa,Todo Gipuzkoa,Responsable Calidad - Empresa Industrial Debabarrena,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2025-10-29,Trabajoscom,Tarragona,Todo Tarragona,Personal mantenimiento (H/M/X),Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Manpower Trabajo Temporal,Sin Data
2025-10-29,Trabajoscom,Madrid,Todo Madrid,Operario/a Máquina de CNC,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,EY,Sin Data
2025-10-29,Trabajoscom,Sevilla,Todo Sevilla,Mozos/as Nocturno (Días Sueltos),Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,EY,Sin Data
2025-10-29,Trabajoscom,Sevilla,Todo Sevilla,Adminstrativo de Obra (Sigrid),Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,Page Personnel ETT,Sin Data
2025-10-29,Trabajoscom,Barcelona,Todo Barcelona,VERIFICADOR/A SECTOR ELÉCTRICO,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Grupompleo,Sin Data
